ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
229164_s_at	ABTB1	-1.531	4.15E-03	-1.624	2.88E-04	-1.31	1.62E-03
238953_at	AC003665.1	 	 	1.676	1.45E-03	 	 
1557068_at	AC003958.2	-1.153	1.76E-02	 	 	 	 
1570230_at	AC007099.1	 	 	-1.292	1.63E-03	 	 
215627_at	AC007405.4	 	 	 	 	1.31	2.89E-02
230450_at	AC007551.3	 	 	-1.172	2.34E-02	1.427	4.38E-02
236451_at	AC009299.3	 	 	-1.46	2.83E-02	 	 
228620_at	AC009948.5	 	 	-1.516	1.70E-02	 	 
237668_at	AC012075.2	 	 	 	 	-1.25	3.49E-02
232812_at	AC022007.5	 	 	 	 	-1.418	1.06E-02
230390_at	AC079145.4	-1.121	3.01E-02	 	 	 	 
1560750_at	AC079586.1	 	 	 	 	1.168	3.79E-02
241886_x_at	AC084018.1	-1.397	8.77E-03	 	 	 	 
1568804_at	AC104134.2	-1.513	4.90E-02	 	 	 	 
1563878_a_at	AC105339.1	 	 	 	 	1.138	9.10E-03
221973_at	AC159540.1	 	 	 	 	1.442	3.72E-02
202003_s_at	ACAA2	-1.368	7.38E-03	-1.22	4.46E-02	-1.285	4.29E-02
43427_at	ACACB	-1.243	2.37E-03	 	 	 	 
1552615_at	ACACB	 	 	-1.161	4.26E-03	 	 
237482_s_at	ACAD10	-1.428	1.50E-02	 	 	 	 
221669_s_at	ACAD8	1.133	3.73E-02	1.15	3.09E-03	 	 
224160_s_at	ACAD9	1.1	1.08E-02	 	 	 	 
206068_s_at	ACADL	 	 	-1.576	3.98E-03	 	 
202502_at	ACADM	 	 	 	 	-1.555	5.62E-03
205355_at	ACADSB	 	 	 	 	-2.002	3.40E-03
200710_at	ACADVL	 	 	 	 	1.285	1.56E-03
205212_s_at	ACAP1	 	 	1.481	4.41E-02	 	 
1552472_a_at	ACAP2	 	 	 	 	1.611	3.49E-02
205412_at	ACAT1	 	 	-1.234	1.03E-02	 	 
209608_s_at	ACAT2	 	 	 	 	1.35	2.98E-02
202324_s_at	ACBD3	 	 	 	 	1.141	4.22E-02
225663_at	ACBD5	 	 	 	 	-1.206	1.31E-02
225317_at	ACBD6	 	 	 	 	1.209	4.30E-02
204617_s_at	ACD	1.13	1.46E-02	 	 	 	 
227776_at	ACER3	1.396	3.33E-03	1.232	1.60E-02	1.652	1.81E-02
222687_s_at	ACER3	 	 	1.39	4.58E-02	 	 
222688_at	ACER3	 	 	 	 	1.272	3.29E-02
205378_s_at	ACHE	 	 	 	 	1.835	3.69E-02
