ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
229454_at	BCLAF1	 	 	 	 	1.348	3.96E-02
219433_at	BCOR	 	 	 	 	-1.506	9.82E-03
233574_at	BCORL1	-1.21	5.00E-03	 	 	 	 
1562313_at	BCORP1	1.115	4.61E-03	 	 	 	 
202315_s_at	BCR	1.068	1.36E-02	 	 	 	 
207618_s_at	BCS1L	1.456	2.63E-03	1.646	6.09E-04	1.78	1.59E-03
205870_at	BDKRB2	 	 	1.463	1.11E-02	 	 
1567359_at	BDNF-AS	-1.089	4.13E-03	 	 	 	 
226290_at	BDP1	1.368	3.13E-02	1.455	1.65E-02	 	 
224227_s_at	BDP1	 	 	1.755	2.41E-02	 	 
231939_s_at	BDP1	 	 	1.5	2.91E-02	 	 
208946_s_at	BECN1	 	 	-1.167	1.86E-02	-1.312	1.25E-02
1561652_at	BECN1	 	 	 	 	1.363	1.79E-02
227920_at	BEND3	1.265	8.25E-03	 	 	 	 
1568820_a_at	BEND6	-1.281	6.67E-03	 	 	 	 
237003_at	BEST3	1.63	3.03E-02	 	 	 	 
224520_s_at	BEST3	 	 	-1.288	3.84E-03	 	 
202710_at	BET1	-1.171	3.89E-02	 	 	 	 
220470_at	BET1L	 	 	1.285	3.23E-02	 	 
224367_at	BEX2	 	 	 	 	-1.422	2.50E-02
215440_s_at	BEX4	-1.586	1.53E-02	-1.518	2.99E-02	 	 
1553935_at	BFSP2-AS1	-1.267	2.56E-02	 	 	 	 
1553936_a_at	BFSP2-AS1	 	 	 	 	1.339	4.59E-02
201170_s_at	BHLHE40	 	 	1.456	3.22E-03	2.17	1.04E-02
201169_s_at	BHLHE40	 	 	 	 	1.917	3.75E-02
231243_s_at	BHLHE41	 	 	1.328	3.46E-02	 	 
223185_s_at	BHLHE41	 	 	 	 	1.2	3.00E-02
242169_at	BHMT2	 	 	1.494	9.98E-03	 	 
1554020_at	BICD1	1.57	2.60E-03	 	 	 	 
214806_at	BICD1	 	 	1.505	4.82E-02	 	 
212702_s_at	BICD2	 	 	1.104	2.85E-02	 	 
213154_s_at	BICD2	 	 	 	 	-1.122	3.32E-02
204493_at	BID	 	 	1.257	1.72E-02	 	 
211725_s_at	BID	 	 	1.137	2.35E-02	1.357	9.21E-03
205780_at	BIK	-2.619	7.23E-04	-2.135	1.62E-03	 	 
222199_s_at	BIN3	1.18	2.52E-02	 	 	1.495	4.42E-02
207287_at	BIN3-IT1	 	 	 	 	1.344	3.49E-02
210538_s_at	BIRC3	 	 	 	 	1.864	4.06E-02
1555826_at	BIRC5	-1.211	2.57E-02	 	 	 	 
210334_x_at	BIRC5	1.274	4.74E-02	1.515	3.32E-02	 	 
202094_at	BIRC5	 	 	1.41	1.03E-02	 	 
220451_s_at	BIRC7	 	 	 	 	1.358	4.85E-02
1569289_at	BIVM	1.637	2.87E-02	 	 	1.234	4.30E-02
233255_s_at	BIVM	 	 	 	 	-1.143	4.04E-02
201032_at	BLCAP	 	 	1.16	4.68E-03	 	 
205733_at	BLM	1.336	1.34E-02	1.363	4.15E-02	1.381	2.12E-02
202179_at	BLMH	 	 	1.425	2.16E-02	1.403	2.73E-02
207655_s_at	BLNK	-2.779	2.02E-02	-3.47	5.46E-05	-3.689	7.76E-03
225049_at	BLOC1S2	 	 	1.044	1.46E-02	 	 
223431_at	BLOC1S4	 	 	 	 	1.252	1.82E-02
224883_at	BLOC1S6	1.414	1.97E-02	 	 	 	 
202201_at	BLVRB	1.306	8.71E-05	1.237	6.89E-03	 	 
203840_at	BLZF1	 	 	-1.323	4.70E-02	 	 
226530_at	BMF	-2.01	3.02E-02	 	 	-3.073	4.80E-02
202265_at	BMI1	 	 	 	 	-1.192	1.96E-02
205289_at	BMP2	 	 	-1.122	6.11E-03	 	 
226853_at	BMP2K	1.469	6.34E-03	 	 	 	 
59644_at	BMP2K	 	 	 	 	-1.144	4.01E-02
211518_s_at	BMP4	-1.303	1.20E-02	-1.338	2.12E-03	 	 
205430_at	BMP5	 	 	1.369	1.18E-02	 	 
209590_at	BMP7	1.174	4.84E-02	 	 	 	 
211260_at	BMP7	1.253	6.76E-03	 	 	 	 
209591_s_at	BMP7	 	 	1.135	4.04E-02	 	 
220203_at	BMP8A	 	 	-1.396	2.45E-02	 	 
235275_at	BMP8B	 	 	-1.409	4.92E-03	-1.477	2.10E-02
241986_at	BMPER	 	 	 	 	2.693	2.28E-02
213578_at	BMPR1A	 	 	1.159	1.39E-02	 	 
229975_at	BMPR1B	 	 	 	 	-1.434	2.58E-02
210214_s_at	BMPR2	-1.479	3.77E-02	 	 	-1.188	2.84E-02
225144_at	BMPR2	 	 	 	 	-1.794	3.02E-02
226802_s_at	BMS1P20	1.164	2.85E-02	 	 	 	 
37226_at	BNIP1	 	 	 	 	1.232	2.16E-02
201848_s_at	BNIP3	 	 	 	 	1.41	7.65E-03
201849_at	BNIP3	 	 	 	 	1.204	7.46E-03
221479_s_at	BNIP3L	-1.19	3.04E-02	-1.278	3.95E-02	-1.293	2.50E-02
221478_at	BNIP3L	 	 	-1.596	7.21E-03	-1.59	3.40E-03
236534_at	BNIPL	 	 	 	 	-1.849	1.78E-02
225990_at	BOC	 	 	 	 	1.571	4.86E-02
225821_s_at	BOD1L1	 	 	1.229	4.98E-02	 	 
223349_s_at	BOK	1.391	1.21E-02	1.278	3.11E-03	1.311	2.28E-02
219345_at	BOLA1	1.307	3.70E-02	 	 	 	 
241644_at	BOLA2/BOLA2B	 	 	1.721	2.27E-02	 	 
227291_s_at	BOLA3	1.213	6.21E-03	1.472	2.85E-02	1.465	6.14E-03
212563_at	BOP1	1.696	1.31E-03	1.894	2.03E-03	1.67	1.56E-03
216397_s_at	BOP1	 	 	 	 	1.414	1.83E-02
219544_at	BORA	 	 	1.508	1.43E-02	1.215	3.57E-02
203502_at	BPGM	 	 	-1.54	4.65E-02	 	 
205750_at	BPHL	 	 	 	 	-1.282	1.37E-02
237099_at	BPIFA2	-1.575	9.10E-03	 	 	 	 
226067_at	BPIFB1	 	 	-1.877	4.02E-02	 	 
231953_at	BPTF	1.598	4.66E-02	1.702	1.11E-02	 	 
232909_s_at	BPTF	 	 	 	 	-1.299	3.56E-02
225437_s_at	BRAT1	 	 	 	 	1.247	4.65E-02
208368_s_at	BRCA2	1.696	1.61E-02	 	 	 	 
214727_at	BRCA2	1.955	2.36E-02	 	 	 	 
216521_s_at	BRCC3	1.255	3.28E-02	1.211	6.85E-03	 	 
221196_x_at	BRCC3	1.345	1.16E-02	 	 	 	 
229436_x_at	BRCC3	1.191	2.46E-02	 	 	 	 
231913_s_at	BRCC3	1.477	1.52E-02	 	 	1.112	1.94E-02
215460_x_at	BRD1	-1.206	2.25E-02	 	 	 	 
214911_s_at	BRD2	-1.084	3.37E-02	 	 	 	 
208685_x_at	BRD2	 	 	 	 	1.16	9.19E-03
212547_at	BRD3	-1.314	1.18E-02	-1.182	3.21E-02	-1.23	1.01E-02
203825_at	BRD3	 	 	 	 	-1.177	4.24E-02
202103_at	BRD4	 	 	1.368	4.37E-02	1.241	2.08E-02
222737_s_at	BRD7	 	 	 	 	1.311	2.88E-02
202227_s_at	BRD8	 	 	 	 	-1.255	1.71E-02
242265_at	BRD8	 	 	 	 	1.387	4.84E-02
220155_s_at	BRD9	 	 	1.148	4.29E-02	 	 
206787_at	BRDT	-1.735	4.39E-02	 	 	-1.631	2.75E-02
1568768_s_at	BRE-AS1	1.85	1.68E-02	 	 	 	 
215677_s_at	BRF1	1.162	1.08E-02	 	 	 	 
218955_at	BRF2	1.113	4.85E-02	 	 	 	 
229798_s_at	BRI3	-1.789	1.52E-02	 	 	 	 
223376_s_at	BRI3	 	 	 	 	-1.166	3.44E-02
225716_at	BRI3BP	1.277	3.56E-03	1.219	7.08E-03	1.213	1.19E-02
231810_at	BRI3BP	1.412	3.63E-02	 	 	1.55	7.19E-03
205818_at	BRINP1	-1.514	1.30E-02	 	 	 	 
214822_at	BRINP2	1.387	4.76E-02	 	 	2.264	5.19E-03
221703_at	BRIP1	1.318	1.66E-02	1.161	6.17E-03	 	 
235609_at	BRIP1	1.531	3.16E-03	1.195	1.84E-02	 	 
219177_at	BRIX1	 	 	1.575	7.23E-04	 	 
224575_at	BRK1	 	 	 	 	-1.196	8.00E-04
226580_at	BRMS1L	 	 	 	 	1.314	1.13E-02
239078_at	BROX	1.619	1.55E-02	 	 	 	 
204481_at	BRPF1	 	 	 	 	1.609	4.38E-02
225217_s_at	BRPF3	-1.359	4.44E-02	 	 	 	 
1565843_s_at	BRPF3	 	 	-1.381	2.93E-02	 	 
214820_at	BRWD1	 	 	1.197	4.08E-03	 	 
238890_at	BRWD1	 	 	-1.704	1.30E-02	 	 
1553227_s_at	BRWD1	 	 	 	 	-2.185	2.58E-02
219280_at	BRWD1	 	 	 	 	-1.45	1.14E-02
1553252_a_at	BRWD3	 	 	 	 	-1.397	1.26E-02
222200_s_at	BSDC1	-1.316	3.27E-02	 	 	 	 
1564131_a_at	BSN-AS2	-1.256	3.14E-02	 	 	 	 
218792_s_at	BSPRY	 	 	1.362	3.61E-02	 	 
222746_s_at	BSPRY	 	 	1.259	1.13E-02	1.407	2.84E-02
209430_at	BTAF1	 	 	1.324	4.22E-02	 	 
238692_at	BTBD11	-1.675	2.71E-02	 	 	 	 
228570_at	BTBD11	 	 	-1.675	9.12E-03	-1.527	1.03E-03
202946_s_at	BTBD3	1.258	3.82E-02	 	 	1.189	2.89E-02
225389_at	BTBD6	-1.229	2.97E-02	1.106	2.45E-02	 	 
220297_at	BTBD7	 	 	 	 	-1.565	4.64E-02
224943_at	BTBD7	 	 	 	 	-1.717	9.80E-04
234682_at	BTBD9	 	 	-1.736	3.62E-02	 	 
241412_at	BTC	 	 	1.194	1.68E-02	 	 
214116_at	BTD	 	 	1.081	4.69E-02	 	 
214800_x_at	BTF3	 	 	 	 	-1.252	1.71E-02
225976_at	BTF3L4	 	 	1.239	2.79E-02	1.145	4.46E-02
200920_s_at	BTG1	-1.523	8.02E-04	 	 	-1.812	4.37E-03
200921_s_at	BTG1	-1.404	2.94E-02	-2.104	9.28E-04	-2.451	7.91E-05
201235_s_at	BTG2	-2.004	1.11E-04	-2.004	5.29E-03	-1.901	1.61E-02
201236_s_at	BTG2	-2.07	1.36E-03	-2.371	3.63E-03	-2.387	9.66E-03
211256_x_at	BTN2A1	 	 	 	 	1.351	1.41E-02
204821_at	BTN3A3	-1.411	2.14E-02	 	 	 	 
204820_s_at	BTN3A3	 	 	-1.38	3.65E-02	 	 
230992_at	BTNL9	2.725	2.12E-02	 	 	 	 
224471_s_at	BTRC	-1.309	1.29E-02	 	 	 	 
209642_at	BUB1	 	 	1.239	9.46E-03	1.257	1.74E-02
215509_s_at	BUB1	 	 	1.598	5.69E-03	1.506	1.65E-02
203755_at	BUB1B	 	 	1.354	6.63E-04	1.217	1.66E-03
201458_s_at	BUB3	1.075	4.74E-02	 	 	 	 
201457_x_at	BUB3	 	 	1.223	1.37E-02	1.152	9.27E-03
205690_s_at	BUD31	 	 	1.197	2.42E-02	1.177	1.52E-02
215815_at	BUD31	 	 	1.613	4.94E-02	 	 
228783_at	BVES	 	 	1.63	4.58E-02	 	 
223853_at	BVES	 	 	 	 	1.167	1.51E-02
203612_at	BYSL	 	 	1.656	3.28E-02	2.661	2.02E-02
205839_s_at	BZRAP1	1.507	4.92E-02	 	 	 	 
200777_s_at	BZW1	 	 	-1.203	1.01E-02	 	 
227701_at	C10orf118	 	 	 	 	-1.443	5.02E-03
229399_at	C10orf118	 	 	 	 	-1.961	4.85E-02
226892_at	C10orf12	 	 	-1.379	4.42E-02	 	 
218590_at	C10orf2	1.608	9.35E-04	1.658	2.50E-03	1.384	8.61E-03
226313_at	C10orf35	1.092	1.96E-02	 	 	1.277	3.07E-02
1553845_x_at	C10orf67	-1.552	3.73E-02	 	 	 	 
1568733_at	C10orf76	1.534	1.65E-02	 	 	 	 
218925_s_at	C11orf1	-1.184	1.61E-02	 	 	 	 
231530_s_at	C11orf1	 	 	-1.104	2.97E-02	 	 
220560_at	C11orf21	 	 	 	 	1.312	4.09E-02
218299_at	C11orf24	1.322	4.55E-02	 	 	 	 
52164_at	C11orf24	 	 	1.161	4.75E-02	1.486	1.12E-03
222806_s_at	C11orf30	 	 	1.118	3.92E-02	 	 
219012_s_at	C11orf30	 	 	 	 	-1.876	1.56E-02
242847_at	C11orf30	 	 	 	 	1.178	3.59E-02
228332_s_at	C11orf31	 	 	-1.132	4.31E-02	 	 
1553086_at	C11orf40	-1.156	4.92E-02	 	 	 	 
223268_at	C11orf54	 	 	-1.695	1.22E-02	 	 
229851_s_at	C11orf54	 	 	 	 	-2.629	7.40E-04
1555787_at	C11orf63	-2.123	4.03E-02	 	 	 	 
219979_s_at	C11orf73	 	 	 	 	-1.452	1.54E-02
230326_s_at	C11orf73	 	 	 	 	1.133	4.13E-02
228249_at	C11orf74	 	 	 	 	1.411	9.87E-03
238593_at	C11orf80	 	 	-1.826	3.15E-02	 	 
204922_at	C11orf80	 	 	 	 	-1.234	3.12E-02
228281_at	C11orf82	1.517	2.90E-02	1.575	5.27E-03	1.429	1.87E-03
229099_at	C11orf83	 	 	1.463	2.13E-02	1.569	1.77E-02
240029_at	C11orf94	 	 	 	 	-1.737	3.88E-02
227099_s_at	C11orf96	-1.344	2.70E-02	-2.111	3.27E-02	-2.4	4.93E-03
224759_s_at	C12orf23	 	 	 	 	-1.207	2.43E-02
228378_at	C12orf29	1.197	4.24E-02	 	 	1.092	2.74E-02
218374_s_at	C12orf4	 	 	1.523	2.96E-02	1.179	2.04E-02
222613_at	C12orf4	 	 	1.341	1.37E-02	 	 
218214_at	C12orf44	 	 	 	 	1.161	3.18E-02
226349_at	C12orf45	 	 	1.389	2.47E-02	1.423	4.29E-03
222767_s_at	C12orf49	 	 	1.283	1.88E-02	 	 
240354_at	C12orf54	-1.413	4.53E-02	 	 	 	 
229888_at	C12orf60	 	 	2.038	5.52E-03	2.939	4.16E-02
243056_at	C12orf60	 	 	 	 	1.602	2.14E-02
223476_s_at	C12orf65	 	 	1.203	3.60E-02	 	 
1554067_at	C12orf66	1.433	4.37E-02	 	 	 	 
235026_at	C12orf66	1.727	9.74E-04	1.756	1.94E-03	2.129	3.89E-03
226943_at	C12orf73	1.097	4.43E-02	 	 	1.483	6.89E-03
226583_at	C12orf76	-1.356	1.97E-03	 	 	-1.241	4.45E-02
1560276_at	C12orf80	 	 	 	 	-1.182	1.20E-02
202562_s_at	C14orf1	 	 	 	 	1.189	1.24E-02
223060_at	C14orf119	 	 	 	 	1.136	3.00E-02
218820_at	C14orf132	-1.412	1.80E-04	-1.386	9.37E-03	-1.609	3.89E-04
231859_at	C14orf132	-1.332	2.89E-02	 	 	-1.299	2.07E-02
218298_s_at	C14orf159	-1.656	9.03E-03	-2.729	2.45E-03	-2.404	1.37E-02
1554039_at	C14orf159	 	 	 	 	-1.306	1.93E-02
217768_at	C14orf166	 	 	 	 	1.146	1.62E-02
233941_at	C14orf166B	1.758	3.21E-03	 	 	 	 
219526_at	C14orf169	1.25	3.39E-03	1.306	4.83E-03	1.338	1.08E-02
237460_x_at	C14orf182	7.186	7.91E-06	4.513	2.61E-05	4.127	1.57E-02
239777_at	C14orf182	7.619	2.70E-02	6.402	7.07E-06	7.154	1.26E-02
202279_at	C14orf2	 	 	 	 	1.208	6.89E-03
210532_s_at	C14orf2	 	 	 	 	1.094	1.07E-02
213512_at	C14orf79	 	 	 	 	1.452	2.91E-03
228558_at	C14orf80	 	 	1.192	2.86E-02	 	 
1552400_a_at	C15orf27	 	 	 	 	1.513	1.53E-02
1556588_at	C15orf37	 	 	-1.157	8.41E-03	 	 
228666_at	C15orf38/C15orf38-AP3S2	 	 	-1.266	2.07E-02	-1.745	4.79E-03
223484_at	C15orf48	 	 	 	 	1.769	4.81E-02
1562367_at	C15orf54	 	 	1.298	2.69E-02	 	 
1560814_a_at	C15orf57	-1.581	7.94E-03	 	 	 	 
230475_at	C15orf59	1.902	1.74E-02	2.716	2.14E-04	2.507	1.04E-05
243309_at	C15orf65	-1.558	1.25E-02	-1.232	4.07E-02	 	 
1554466_a_at	C16orf13	1.154	3.91E-02	1.372	7.86E-04	 	 
230851_x_at	C16orf13	 	 	 	 	1.247	1.22E-02
212736_at	C16orf45	1.474	7.46E-04	 	 	1.923	3.20E-03
230721_at	C16orf52	-1.173	3.48E-02	 	 	 	 
230296_at	C16orf52	 	 	 	 	-1.453	7.64E-04
219556_at	C16orf59	1.231	4.27E-02	 	 	 	 
223440_at	C16orf70	 	 	 	 	1.163	1.11E-02
227806_at	C16orf74	1.316	2.27E-02	1.549	1.04E-02	 	 
217957_at	C16orf80	1.104	4.60E-02	 	 	1.385	7.90E-03
226608_at	C16orf87	 	 	 	 	-1.453	2.78E-02
242555_at	C16orf87	 	 	 	 	-1.476	2.60E-02
225749_at	C16orf91	 	 	 	 	1.219	1.17E-02
231300_at	C16orf93	 	 	 	 	1.414	3.71E-02
223745_at	C16orf95	 	 	-1.17	3.08E-02	 	 
219784_at	C16orf95	 	 	 	 	1.298	4.80E-02
226657_at	C17orf103	-2.116	2.46E-02	 	 	-3.5	4.10E-02
1554662_at	C17orf47	 	 	 	 	1.332	4.60E-02
224574_at	C17orf49	 	 	 	 	1.332	9.10E-03
238167_at	C17orf51	 	 	-1.353	2.48E-03	 	 
226901_at	C17orf58	 	 	-1.7	4.38E-02	-1.603	8.97E-03
229950_s_at	C17orf59	1.374	2.94E-02	 	 	 	 
240082_s_at	C17orf74	 	 	 	 	1.14	1.93E-02
223352_s_at	C17orf80	 	 	1.313	4.04E-02	1.277	6.03E-03
223351_at	C17orf80	 	 	 	 	1.133	2.93E-02
1555478_at	C17orf82	-1.191	2.70E-02	-1.378	2.78E-02	-1.321	3.58E-02
225967_s_at	C17orf89	1.168	1.16E-02	1.345	5.92E-03	1.295	2.13E-02
225966_at	C17orf89	 	 	-1.458	1.69E-02	 	 
228066_at	C17orf96	 	 	1.437	2.86E-02	1.181	4.76E-02
217508_s_at	C18orf25	 	 	 	 	1.491	3.77E-02
228989_at	C18orf56	-1.298	2.23E-02	 	 	 	 
221190_s_at	C18orf8	 	 	1.268	8.96E-03	 	 
216483_s_at	C19orf10	 	 	1.499	3.21E-03	1.739	1.23E-04
221739_at	C19orf10	 	 	1.221	7.72E-03	1.349	3.36E-02
221587_s_at	C19orf24	 	 	 	 	1.302	3.88E-02
226378_s_at	C19orf25	1.404	1.62E-02	 	 	 	 
1552355_s_at	C19orf26	 	 	-1.6	3.93E-02	 	 
215325_x_at	C19orf26	 	 	1.613	3.20E-02	 	 
223631_s_at	C19orf33	1.244	1.96E-02	 	 	1.204	2.62E-02
232730_at	C19orf44	 	 	 	 	1.51	2.07E-02
224468_s_at	C19orf48	1.521	1.81E-03	 	 	1.179	1.90E-02
217926_at	C19orf53	 	 	 	 	1.327	8.54E-03
51200_at	C19orf60	 	 	1.149	3.76E-02	1.396	8.19E-04
218958_at	C19orf60	 	 	 	 	1.461	3.11E-02
53720_at	C19orf66	-1.383	3.68E-02	-1.51	2.96E-03	 	 
1555491_a_at	C19orf66	 	 	-1.602	2.10E-02	 	 
238866_at	C19orf68	 	 	1.453	2.13E-03	1.366	1.86E-02
231632_at	C19orf69	 	 	 	 	-1.699	4.48E-02
225823_at	C19orf70	 	 	1.3	1.28E-02	1.39	8.01E-03
200056_s_at	C1D	 	 	 	 	1.193	3.88E-02
226107_at	C1GALT1	 	 	2.312	4.08E-02	 	 
219439_at	C1GALT1	 	 	 	 	1.71	3.10E-02
219010_at	C1orf106	-1.141	1.28E-04	 	 	 	 
1554960_at	C1orf110	1.111	2.65E-02	 	 	 	 
220840_s_at	C1orf112	 	 	1.294	3.53E-02	1.519	3.63E-03
218546_at	C1orf115	-1.718	1.01E-02	-1.798	4.35E-04	-1.984	1.34E-03
225480_at	C1orf122	1.1	2.60E-02	 	 	 	 
203197_s_at	C1orf123	 	 	 	 	1.185	2.42E-02
226242_at	C1orf131	 	 	1.289	1.97E-02	1.217	8.86E-03
223063_at	C1orf198	 	 	 	 	1.401	2.04E-02
1556633_at	C1orf204	 	 	-1.874	4.54E-02	 	 
221272_s_at	C1orf21	 	 	-1.596	4.60E-02	 	 
223125_s_at	C1orf21	 	 	-1.204	1.84E-02	 	 
223126_s_at	C1orf21	 	 	-1.297	8.30E-03	 	 
1554246_at	C1orf210	-1.487	7.87E-03	-1.382	2.66E-04	 	 
227019_at	C1orf226	2.153	2.70E-02	2.401	2.36E-02	1.91	2.34E-02
238367_s_at	C1orf228	 	 	-1.561	2.82E-03	 	 
227185_at	C1orf233	 	 	1.242	2.57E-02	 	 
218721_s_at	C1orf27	1.29	4.17E-02	 	 	 	 
222720_x_at	C1orf27	 	 	2.116	2.80E-03	 	 
219063_at	C1orf35	1.252	1.12E-02	 	 	1.211	2.82E-02
1555225_at	C1orf43	1.222	9.10E-03	1.277	2.88E-02	1.224	1.83E-02
227285_at	C1orf51	-1.668	1.86E-03	 	 	 	 
221222_s_at	C1orf56	-1.408	1.39E-02	-1.401	4.47E-02	-1.438	2.18E-02
230468_s_at	C1orf56	 	 	 	 	1.686	3.19E-02
209006_s_at	C1orf63	 	 	-1.246	3.18E-02	-1.681	8.05E-03
229933_at	C1orf74	 	 	1.358	2.25E-02	 	 
1558693_s_at	C1orf85	-1.339	3.90E-02	-1.419	2.24E-02	-1.436	1.07E-02
225401_at	C1orf85	-1.23	3.02E-02	-1.427	1.40E-02	-1.63	3.10E-03
1558692_at	C1orf85	 	 	 	 	-2.202	4.28E-02
1562675_at	C1orf86	-1.371	2.58E-02	 	 	 	 
236499_at	C1orf86	 	 	1.614	1.22E-02	 	 
236710_at	C1orf87	-1.183	4.08E-02	 	 	 	 
232104_at	C1orf95	 	 	1.938	4.40E-02	1.981	4.27E-02
208910_s_at	C1QBP	1.23	7.31E-06	1.492	5.91E-03	1.541	2.16E-03
214214_s_at	C1QBP	1.25	6.77E-03	1.305	7.41E-03	1.556	6.65E-03
225353_s_at	C1QC	 	 	 	 	1.459	4.15E-02
223499_at	C1QTNF5	 	 	-1.222	2.64E-02	 	 
242444_at	C1QTNF6	1.9	1.74E-02	2.462	2.20E-02	1.818	3.71E-03
223571_at	C1QTNF6	 	 	 	 	1.286	1.88E-02
222277_at	C1QTNF9B-AS1	 	 	-1.531	4.07E-04	-1.922	1.50E-03
218983_at	C1RL	-1.183	8.72E-04	 	 	 	 
231360_at	C20orf141	 	 	 	 	1.461	1.84E-02
226607_at	C20orf194	-1.487	1.63E-02	-1.409	1.66E-02	-1.298	3.26E-02
225825_at	C20orf194	 	 	 	 	-1.566	6.74E-03
243507_s_at	C20orf196	 	 	2.164	1.18E-02	 	 
1554977_at	C20orf201	 	 	 	 	1.27	8.71E-03
217835_x_at	C20orf24	1.138	2.52E-02	1.168	4.65E-03	1.274	9.98E-03
223880_x_at	C20orf24	1.137	2.12E-02	1.094	1.98E-02	1.203	1.80E-02
224376_s_at	C20orf24	1.272	2.09E-03	1.482	5.34E-04	1.639	5.07E-04
50314_i_at	C20orf27	1.496	4.81E-03	 	 	 	 
1570328_s_at	C20orf62	 	 	-1.552	2.48E-02	 	 
229542_at	C20orf85	-1.121	3.26E-02	 	 	 	 
1553282_at	C21orf128	 	 	 	 	1.446	2.49E-02
203993_x_at	C21orf2	-1.405	3.56E-02	1.248	3.77E-02	1.702	5.64E-03
203996_s_at	C21orf2	 	 	1.228	5.04E-03	 	 
202217_at	C21orf33	 	 	-1.137	2.04E-03	 	 
1555198_x_at	C21orf58	 	 	-1.518	2.29E-02	 	 
1559439_s_at	C21orf58	 	 	 	 	-1.501	4.49E-02
244369_at	C21orf59	-1.217	3.19E-02	1.094	2.68E-02	 	 
218123_at	C21orf59	 	 	1.082	1.75E-02	1.352	6.49E-03
220543_at	C21orf62	1.346	4.22E-02	 	 	 	 
226109_at	C21orf91	1.336	1.82E-02	 	 	 	 
226204_at	C22orf29	-1.14	2.30E-03	-1.191	4.40E-02	-1.58	2.75E-03
227086_at	C22orf39	-1.318	6.17E-03	 	 	 	 
1553974_at	C22orf39	 	 	 	 	-1.285	2.74E-02
237325_at	C22orf43	 	 	 	 	1.283	2.53E-02
212875_s_at	C2CD2	-1.398	1.57E-02	-1.368	3.71E-02	-2.015	3.76E-03
241031_at	C2CD4A	 	 	 	 	2.268	6.48E-04
229727_x_at	C2CD4B	 	 	 	 	1.613	1.72E-02
242418_at	C2orf27A/C2orf27B	1.424	4.71E-02	1.367	2.84E-02	 	 
223623_at	C2orf40	 	 	1.14	1.87E-02	 	 
219120_at	C2orf44	 	 	 	 	1.551	2.98E-02
219176_at	C2orf47	 	 	1.083	1.43E-02	 	 
238974_at	C2orf69	1.296	2.47E-02	1.285	6.93E-03	1.188	5.32E-03
213143_at	C2orf72	-1.387	3.12E-02	 	 	 	 
236070_at	C2orf81	 	 	-1.188	7.78E-03	 	 
219288_at	C3orf14	 	 	 	 	-1.085	1.82E-02
225281_at	C3orf17	 	 	1.218	2.30E-02	 	 
237368_at	C3orf35	 	 	 	 	-1.429	4.57E-02
1562694_at	C3orf65	 	 	1.289	4.32E-02	 	 
242447_at	C3orf70	 	 	 	 	-1.748	3.48E-02
208451_s_at	C4A/C4B	 	 	-1.398	1.82E-03	 	 
208209_s_at	C4BPB	1.487	4.69E-02	 	 	 	 
235350_at	C4orf19	 	 	 	 	-1.416	1.07E-02
231204_at	C4orf21	1.03	3.57E-03	 	 	 	 
241968_at	C4orf29	1.183	1.58E-02	 	 	 	 
224602_at	C4orf3	 	 	-1.11	3.40E-02	 	 
224604_at	C4orf3	 	 	-1.547	3.78E-02	 	 
227856_at	C4orf32	-1.329	1.11E-02	-1.365	1.63E-02	-1.762	1.01E-03
235088_at	C4orf46	 	 	-1.27	4.95E-02	 	 
221149_at	C5AR2	2.466	2.78E-02	 	 	2.355	4.88E-02
238635_at	C5orf28	 	 	 	 	-1.564	2.06E-02
221823_at	C5orf30	1.293	1.65E-02	 	 	 	 
229886_at	C5orf34	 	 	 	 	1.358	1.15E-02
232253_at	C5orf56	-1.397	2.25E-02	 	 	 	 
230405_at	C5orf56	 	 	-1.587	3.49E-02	 	 
237956_s_at	C5orf58	 	 	 	 	-1.477	1.44E-02
236642_at	C5orf63	 	 	1.211	3.43E-02	-1.173	3.12E-02
205457_at	C6orf106	 	 	1.536	2.11E-02	1.44	2.54E-02
217924_at	C6orf106	 	 	 	 	1.207	6.85E-03
238028_at	C6orf132	 	 	1.571	1.03E-02	 	 
1552575_a_at	C6orf141	1.802	1.31E-02	3.077	4.45E-04	3.454	7.71E-05
1554314_at	C6orf141	 	 	1.271	2.81E-02	2.579	4.55E-02
230506_at	C6orf164	 	 	1.234	4.78E-03	 	 
230273_at	C6orf165	-1.527	7.17E-03	-1.639	1.60E-02	 	 
231642_at	C6orf201	 	 	 	 	1.549	2.13E-02
218195_at	C6orf211	 	 	 	 	-1.516	1.28E-03
239137_x_at	C6orf223	 	 	 	 	1.456	4.54E-02
220755_s_at	C6orf48	-1.158	3.51E-03	-1.322	1.04E-02	-1.654	7.83E-03
222968_at	C6orf48	1.294	4.04E-02	 	 	 	 
236504_x_at	C6orf52	 	 	1.409	8.46E-03	 	 
238504_at	C6orf57	1.164	2.99E-03	 	 	1.113	4.85E-02
208809_s_at	C6orf62	 	 	1.07	3.55E-02	 	 
1556359_at	C6orf89	-1.148	2.19E-02	 	 	 	 
225729_at	C6orf89	-1.254	3.82E-02	 	 	 	 
224977_at	C6orf89	 	 	-1.5	4.62E-02	-1.231	2.31E-02
230487_at	C6orf99	 	 	1.392	4.54E-03	 	 
221573_at	C7orf25	1.288	4.79E-02	 	 	 	 
